ID,Seed,Levels,Wall_ins_thickness,Roof_ins_thickness,Ground_ins_thickness,Wnd_density_south,Wnd_density_north,Wnd_density_west,Wnd_density_east,Window_Option,Shading,Exterior_Surface,Form_factor,Windows,Walls,Win north area,Win south area,Win west area,Win east area,Wall area,Roof area,Ground area,imgName,Total CO2,MaterialCO2,OperationCO2,CO2 End of Life,Climate-location,Construction-preset,C3C4 MaterialCO2,D Material CO2,img
59,15730,3,0.17,0.25,0.1,0.319181,0.233957,0.34765,0.191325,1,0,3408.062758,2.130039,381.291692,1388.493229,117.446915,160.229874,66.833702,36.781201,1007.201537,1009.784765,1009.784765,s15671i59d48.jpg,1011800,196140.774066,815688.507599,14138.42879,0,2,37022.724847,-54417.635714,ID59.png
60,15731,5,0.17,0.25,0.1,0.15203,0.233957,0.34765,0.191325,1,0,2723.268125,1.702043,360.459866,1734.21344,132.150087,156.678288,55.165208,16.466283,1373.753574,494.527342,494.527342,s15671i60d130.jpg,911332.615076,160540.939114,750791.675962,10423.67773,0,2,34406.301559,-41562.322933,ID60.png
61,15732,4,0.17,0.25,0.1,0.15203,0.162321,0.252135,0.191325,1,0,2776.761748,1.735476,261.441198,1545.579554,90.262666,98.483941,48.234186,24.460404,1284.138357,615.591097,615.591097,s15671i61d72.jpg,804146.14982,149414.646337,654731.503483,10467.628341,0,2,33724.917918,-40787.646531,ID61.png
62,15733,2,0.17,0.25,0.1,0.334879,0.162321,0.252135,0.29581,1,0,4597.091254,2.873182,275.680694,1058.846916,49.565754,95.123983,61.866101,69.124855,783.166223,1769.122169,1769.122169,s15671i62d10.jpg,1468200,554686.936785,913520.327383,51370.13452,1,0,11873.855538,-70674.605565,ID62.png
63,15734,4,0.17,0.25,0.1,0.334879,0.240684,0.252135,0.29581,1,0,3380.936581,2.113085,479.418159,1688.857651,145.685353,202.701052,60.293771,70.737983,1209.439492,846.039465,846.039465,s15671i63d76.jpg,1367500,525614.082926,841893.020418,46707.346774,1,0,10374.829971,-46580.289102,ID63.png
64,15735,2,0.17,0.25,0.1,0.167728,0.240684,0.15662,0.29581,1,0,2787.241375,1.742026,164.20645,767.26128,51.178034,35.66492,26.781308,50.582189,603.05483,1009.990047,1009.990047,s15671i64d12.jpg,925318.432565,370185.366336,555133.066229,32138.557449,1,0,7834.103078,-48473.200765,ID64.png
65,15736,4,0.17,0.25,0.1,0.167728,0.240684,0.15662,0.29581,1,0,2278.283976,1.423927,265.6091,1268.293935,116.45655,81.156175,23.538645,44.457731,1002.684835,504.99502,504.99502,s15671i65d88.jpg,910930.46687,384353.577419,526576.889451,31716.492394,1,0,7642.568713,-36040.263595,ID65.png
66,15737,2,0.17,0.25,0.1,0.350577,0.169048,0.261105,0.200296,1,0,4822.955881,3.014347,264.228973,1072.005304,47.485602,103.905797,68.586864,44.250709,807.776332,1875.475288,1875.475288,s15671i66d14.jpg,1543200,576134.563597,967023.695889,54049.706694,1,0,12437.690076,-73782.182032,ID66.png
67,15738,4,0.17,0.25,0.1,0.350577,0.169048,0.261105,0.200296,1,0,3864.380323,2.415238,515.737284,2024.514525,141.340026,293.114824,45.997471,35.284963,1508.777241,919.932899,919.932899,s15671i67d92.jpg,1216600,191784.750988,1024800,13825.218367,0,2,45238.911641,-51938.220638,ID67.png
68,15739,3,0.17,0.25,0.1,0.183426,0.247412,0.261105,0.200296,1,0,2657.491617,1.660932,231.37065,1044.611013,77.887779,57.74426,54.178176,41.560435,813.240363,806.440302,806.440302,s15671i68d27.jpg,769107.083057,158374.350709,610732.732348,12005.431174,0,2,30473.196687,-47252.231159,ID68.png
